PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
56,980000000,2009,서울특별시 종로구  숭인동 766 ,2024-07-11,숭인동길,종로청계힐스테이트,84.95,3

57,1200000000,2004,서울특별시 종로구  숭인동 76 ,2024-07-12,종로,롯데캐슬천지인,111.73,4

58,1660000000,2017,서울특별시 종로구  평동 233 ,2024-07-12,경교장길,경희궁자이(3단지),59.85,16

59,1970000000,2017,서울특별시 종로구  평동 233 ,2024-07-13,경교장길,경희궁자이(3단지),84.84,2

60,2540000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-01,송월길,경희궁자이(2단지),101.9,6

61,2200000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-02,송월길,경희궁자이(2단지),84.84,10

62,3000000000,2017,서울특별시 종로구  홍파동 199 ,2024-07-12,송월길,경희궁자이(2단지),116.99,9

63,1185000000,2008,서울특별시 종로구  무악동 60 ,2024-07-03,통일로18길,인왕산아이파크,84.86,3

64,1375000000,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.86,13

65,1200000000,2008,서울특별시 종로구  무악동 60 ,2024-07-13,통일로18길,인왕산아이파크,84.86,3

66,514000000,1981,서울특별시 중구  묵정동 11-67 ,2024-07-01,서애로1길,묵정,52.46,7

67,925000000,1999,서울특별시 중구  신당동 843 ,2024-07-01,청구로1길,삼성,59.98,5

68,1365000000,1999,서울특별시 중구  신당동 842 ,2024-07-01,동호로10길,약수하이츠,114.92,10

69,900000000,1999,서울특별시 중구  신당동 842 ,2024-07-02,동호로10길,약수하이츠,57.63,3

70,1500000000,2011,서울특별시 중구  신당동 852 ,2024-07-02,청구로,청구e편한세상,84.95,12

71,1050000000,2019,서울특별시 중구  신당동 856 ,2024-07-03,난계로,신당KCC스위첸,59.45,8

72,1200000000,2011,서울특별시 중구  신당동 851 ,2024-07-04,퇴계로90길,래미안하이베르,84.85,6

73,1220000000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,84.97,10

74,1090000000,2011,서울특별시 중구  신당동 851 ,2024-07-05,퇴계로90길,래미안하이베르,59.74,15

75,1030000000,2002,서울특별시 중구  신당동 844 ,2024-07-06,다산로,남산타운,59.94,13

76,1085000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,59.95,7

77,1100000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.97,1

78,1180000000,2011,서울특별시 중구  신당동 851 ,2024-07-06,퇴계로90길,래미안하이베르,84.85,4

79,975000000,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,57.63,12

80,1250000000,1999,서울특별시 중구  신당동 842 ,2024-07-06,동호로10길,약수하이츠,84.88,7

81,1120000000,2011,서울특별시 중구  신당동 851 ,2024-07-07,퇴계로90길,래미안하이베르,59.74,11

82,890000000,2000,서울특별시 중구  신당동 846 ,2024-07-08,다산로42나길,신당동파라다이스,84.77,11

83,1190000000,2004,서울특별시 중구  신당동 849 ,2024-07-08,다산로42가길,삼성홈타운,104.98,12

84,760000000,2002,서울특별시 중구  신당동 333-9 ,2024-07-10,청구로3길,성지,84.37,3

85,1400000000,2011,서울특별시 중구  신당동 852 ,2024-07-10,청구로,청구e편한세상,84.95,6

86,840000000,2000,서울특별시 중구  신당동 846 ,2024-07-11,다산로42나길,신당동파라다이스,84.77,10

87,1200000000,2019,서울특별시 중구  신당동 856 ,2024-07-18,난계로,신당KCC스위첸,84.91,1

88,1035000000,2008,서울특별시 중구  황학동 2545 ,2024-07-03,청계천로,롯데캐슬,84.92,25

89,355000000,2018,서울특별시 중구  황학동 1200 ,2024-07-08,마장로14길,위너빌(Winnervill),29.87,8

90,130000000,2013,서울특별시 중구  황학동 787 ,2024-07-12,난계로,한양I-Class,16.37,14

91,345000000,2020,서울특별시 중구  정동 37 ,2024-07-02,서소문로,삼정아트테라스정동,13.89,7

92,1645000000,2017,서울특별시 중구  만리동2가 273 ,2024-07-01,만리재로,서울역센트럴자이,84.97,16

93,1525000000,2017,서울특별시 중구  만리동2가 273 ,2024-07-06,만리재로,서울역센트럴자이,73.0,24

94,1645000000,2017,서울특별시 중구  만리동2가 273 ,2024-07-06,만리재로,서울역센트럴자이,84.97,20

95,1700000000,2017,서울특별시 중구  만리동2가 273 ,2024-07-14,만리재로,서울역센트럴자이,84.98,10

96,890000000,2001,서울특별시 용산구  산천동 204 ,2024-07-03,새창로8길,한강타운,59.69,5

97,1250000000,2018,서울특별시 용산구  효창동 286 ,2024-07-02,백범로,용산케이씨씨스위첸,59.97,5

98,1350000000,2018,서울특별시 용산구  효창동 286 ,2024-07-18,백범로,용산케이씨씨스위첸,59.95,9

99,1250000000,2001,서울특별시 용산구  도원동 23 ,2024-07-07,새창로,삼성래미안,84.69,2

100,750000000,2021,서울특별시 용산구  한강로1가 216-11 ,2024-07-13,한강대로62길,센트럴파크,27.82,4

101,2500000000,2001,서울특별시 용산구  이촌동 418 ,2024-07-02,이촌로,동부센트레빌,100.92,19

102,3800000000,1971,서울특별시 용산구  이촌동 300-23 ,2024-07-02,이촌로,한강맨숀,101.95,4

